DialogBox;;Optionen und Spezielle Funktionen;Options and special functions;Opties en speciale functies;Options et fonctions spéciales;Options and special functions;Options and special functions;Valgmuligheder og specielle funktioner
DialogBox;;Prog. Installieren;Prog. Install;Installeer het programma;Installation programme.;Prog. Install;Prog. Install;Prog. Installere
DialogBox;;USB Port erkennen;Detect USB port;USB-poort detecteren;Détecter le port USB;Detect USB port;Detect USB port;Registrer USB-port
DialogBox;;Version lesen;Read version;Lees versie;Lire la version;Read version;Read version;Læs version
DialogBox;;Arduino Typ;Arduino type;Arduino type;Type Arduino;Arduino type;Arduino type;Arduino type
DialogBox;;LED Arduino;LED Arduino;LED Arduino;LED Arduino;LED Arduino;LED Arduino;LED Arduino
DialogBox;;Selectrix Arduino;Selectrix Arduino;Selectrix Arduino;Selectrix Arduino;Selectrix Arduino;Selectrix Arduino;Selectrix Arduino
DialogBox;;Nano Normal (old Bootloader);Nano Normal (old Bootloader);Nano Normaal (Oude Bootloader);Nano Normal (ancien bootloader);Nano Normal (old Bootloader);Nano Normal (old Bootloader);Nano Normal (gammel bootloader)
DialogBox;;Nano (neue Version);Nano (New Version);Nano (Nieuwe Versie);Nano (nouvelle version);Nano (New Version);Nano (New Version);Nano (Ny version)
DialogBox;;Uno;Uno;Uno;Uno;Uno;Uno;Uno
DialogBox;;Typ von Arduino IDE benutzen;Use type of Arduino IDE;"Gebruik het type Arduino |
vermeld in de IDE";Utiliser le type d'IDE Arduino;Use type of Arduino IDE;Use type of Arduino IDE;Brug Arduino IDE-typen
DialogBox;;Schließen;Close;Sluiten;près;Close;Close;Tæt
DialogBox;;Hochladen;Upload;Uploaden;télécharger;Upload;Upload;Upload
DialogBox;; Kompilieren; compile; compileren; compilation; compile; compile; udarbejde
DialogBox;;Mail an Hardi;Mail to Hardi;Mail aan Hardi;Mail à Hardi;Mail to Hardi;Mail to Hardi;Mail til Hardi
DialogBox;;Änderungen gelten für allen Seiten;Changes apply to all sides;Wijzigingen gelden voor alle bladen;Les modifications s'appliquent à tous les côtés;Changes apply to all sides;Changes apply to all sides;Ændringer gælder for alle sider
DialogBox;;Ausführliche Ausgaben beim:;Detailed issues at:;Gedetailleerde problemen op:;Problèmes détaillés à:;Detailed issues at:;Detailed issues at:;Detaljerede problemer på:
DialogBox;;Für andere Hauptplatine;For other motherboards;Voor andere moederborden;Pour les autres cartes mères;For other motherboards;For other motherboards;Til andre bundkort
DialogBox;;LED Farbtest starten;LED color test;LED-kleurentest;Test de couleur LED;Test colore LED;Prueba de color LED;LED farvetest
DialogBox;;LED Kanal Auswahl;LED channel selection;Selectie van LED-kanalen;Sélection du canal LED;LED channel selection;LED channel selection;Valg af LED-kanal
DialogBox;;Alle;All;Alles;tous;All;All;Alle
DialogBox;;1 / Rot;1 / Red;1 / Rood;1 / rouge;1 / Red;1 / Red;1 / Red
DialogBox;;2 / Grün;2 / Green;2 / Groen;2 / vert;2 / Green;2 / Green;2 / Green
DialogBox;;3 / Blau;3 / Blue;3 / Blauw;3 / bleu;3 / Blue;3 / Blue;3 / Blue
DialogBox;;1&2 / Gelb;1&2 / Yellow;1&2 / Geel;1&2 / jaune;1&2 / Yellow;1&2 / Yellow;1&2 / Yellow
DialogBox;;2&3 / Zyan;2&3 / Cyan;2&3 / Cyan;2&3 / Cyan;2&3 / Cyan;2&3 / Cyan;2&3 / Cyan
DialogBox;;Protokoll Auswahl;Protocol selection;Protocol selectie;Sélection du protocole;Protocol selection;Protocol selection;Valg af protokol
DialogBox;;Welches Protokoll soll zur Steuerung der LEDs benutzt werden?;Which protocol should be used to control the LEDs?;Welk protocol moet worden gebruikt om de LED's te regelen?;Quel protocole utiliser pour contrôler les LED?;Which protocol should be used to control the LEDs?;Which protocol should be used to control the LEDs?;Hvilken protokol skal bruges til at kontrollere lysdioderne?
DialogBox;;DCC;DCC;DCC;DCC;DCC;DCC;DCC
DialogBox;;Selectrix;Selectrix;Selectrix;Selectrix;Selectrix;Selectrix;Selectrix
DialogBox;;Märklin CAN Bus;Märklin CAN Bus;Märklin CAN Bus;Märklin CAN Bus;Märklin CAN Bus;Märklin CAN Bus;Märklin CAN Bus
DialogBox;;Auch wenn Momentan noch keine Steuerung über eine Zentrale benötigt wird können die Daten in eine der Tabellen eingetragen werden. Die Spalten für die Adresse bleiben dann einfach leer. Sie können bei Bedarf nachgetragen werden.;Even if no control via a traincontroller is currently required, the data can be entered in one of the tables. The columns for the address then simply remain empty. They can be added later if necessary.;Zelfs als er momenteel geen bediening via een centrale eenheid nodig is, kunnen de gegevens in een van de tabellen worden ingevoerd. De kolommen voor het adres blijven dan gewoon leeg. Ze kunnen indien nodig later worden toegevoegd.;Même si aucun contrôle via une unité centrale n'est actuellement requis, les données peuvent être saisies dans l'un des tableaux. Les colonnes de l'adresse restent alors simplement vides. Ils peuvent être ajoutés ultérieurement si nécessaire.;Even if no control via a traincontroller is currently required, the data can be entered in one of the tables. The columns for the address then simply remain empty. They can be added later if necessary.;Even if no control via a traincontroller is currently required, the data can be entered in one of the tables. The columns for the address then simply remain empty. They can be added later if necessary.;Selv hvis der i øjeblikket ikke kræves kontrol via en traincontroller, kan dataene indtastes i en af ??tabellerne. Kolonnerne for adressen forbliver blot tomme. De kan tilføjes senere, hvis nødvendigt.
DialogBox;;Auswahl des Eingabe Typs;Input selection;Selectie van het invoertype;Sélection du type d'entrée;Input selection;Input selection;Valg af input
DialogBox;;Rot;Red;Rood;rouge;Red;Red;Rød
DialogBox;;Grün;Green;Groen;vert;Green;Green;Grøn
DialogBox;;An / Aus;On / Off;Aan / Uit;Marche / Arrêt;On / Off;On / Off;Tænd sluk
DialogBox;;"Ein Steuereingang von der Zentrale kann entweder als |
Ein- / Ausschalter oder als Taster (Rot/Grün) interpretiert werden.|
|
* Ein- / Ausschalter verwendet man z.B. bei Häusern. |
* Taster werden Beispielsweise bei Sounds eingesetzt.|
|
Beim Taster können zwei verschiedene Aktionen über einer Adresse ausgelöst werden.|
Anstelle von ""Rot"" und ""Grün"" kann je nach Zentrale auch ""Abbiegen"" oder ""Gerade"", 0 oder 1 angezeigt werden. ";"A control input from the traincontroller can either be |
on / off switch or interpreted as a button (red / green). |
|
* On / off switch is used e.g. for houses. |
* Buttons are used for sounds, for example
|
With the push button, two different actions can be triggered via one address.|
Instead of ""Red"" and ""Green"", ""Turn"" or ""Straight"", 0 or 1 can also be displayed depending on the control center.";"Een besturingsingang van de besturingscentrale kan zijn |
een aan / uit-schakelaar of geïnterpreteerd worden als een drukknop (rood / groen)
|
* Aan / uit-schakelaar wordt gebruikt b.v. voor huizen. |
|
* Drukknoppen worden bijvoorbeeld gebruikt voor geluiden.|
|
Met de drukknop kunnen twee verschillende acties worden geactiveerd via een adres. In plaats van ""Rood"" en ""Groen"", ""Gebogen"" of ""Recht"", kan ook 0 of 1 worden weergegeven, afhankelijk van het besturingscentrale.";"Une entrée de commande du centre de contrôle peut être interprétée comme un interrupteur marche / arrêt ou comme un bouton (rouge / vert). |
|
* Un interrupteur marche / arrêt est utilisé par ex. pour les maisons. |
* Les boutons sont utilisés pour les sons, par exemple. |
|
Deux actions différentes peuvent être déclenchées via une adresse. |
Au lieu de ""rouge"" et ""vert"", ""tourner"" ou ""droit"", 0 ou 1 peuvent également être affichés, selon le centre de contrôle être.";"A control input from the traincontroller can either be on / off switch or interpreted as a button (red / green). * On / off switch is used e.g. for houses. * Buttons are used for sounds, for example
With the push button, two different actions can be triggered via one address.Instead of ""Red"" and ""Green"", ""Turn"" or ""Straight"", 0 or 1 can also be displayed depending on the control center.";"A control input from the traincontroller can either be on / off switch or interpreted as a button (red / green). * On / off switch is used e.g. for houses. * Buttons are used for sounds, for example
With the push button, two different actions can be triggered via one address.Instead of ""Red"" and ""Green"", ""Turn"" or ""Straight"", 0 or 1 can also be displayed depending on the control center.";"En kontrolindgang fra traincontrolleren kan enten være | tænd / sluk-kontakten eller tolkes som en knap (rød / grøn). || * On / off switch bruges f.eks. til huse. | * Knapper bruges til lyde, for eksempel | Med trykknappen kan to forskellige handlinger udløses via en adresse. | I stedet for ""Rød"" og ""Grøn"", ""Drej"" eller ""Lige"", kan 0 eller 1 også vises afhængigt af kontrolcentret."
DialogBox;;"""Rot"" und ""Grün"" ist symbolisch zu verstehen und hat nichts mit den LED Farben zu tun.";"""Red"" and ""Green"" is to be understood symbolically and has nothing to do with the LED colors.";"""Rood"" en ""Groen"" moeten symbolisch worden opgevat en hebben niets te maken met de LED-kleuren.";"""Rouge"" et ""Vert"" doivent être compris symboliquement et n'ont rien à voir avec les couleurs des LED.";"""Red"" and ""Green"" is to be understood symbolically and has nothing to do with the LED colors.";"""Red"" and ""Green"" is to be understood symbolically and has nothing to do with the LED colors.";"""Rød"" og ""Grøn"" skal forstås symbolsk og har intet at gøre med LED-farverne."
DialogBox;;Tast;Push;Druk;Appuyer;Push;Push;Skubbe
DialogBox;;"Ein Steuereingang von der Zentrale kann entweder als |
Ein- / Ausschalter oder als Taster (Rot/Grün) interpretiert werden.|
|
* Ein- / Ausschalter verwendet man z.B. bei Häusern. |
* Taster werden Beispielsweise bei Sounds eingesetzt.|
|
Wenn die Taster Funktion aktiviert ist, dann wird bei jeder Änderung des entsprechenden Bits ein Tastendruck generiert.";"A control input from the traincontroller can either be |
On / off switch or interpreted as a button (red / green). |
|
* On / off switch is used e.g. for houses. |
* Buttons are used for sounds, for example.
|
If the button function is activated, each time the corresponding bit is changed, a button press is generated.";"Een besturingsingang van de besturingscentrale kan zijn een |
aan / uit-schakelaar of geïnterpreteerd worden als een drukknop (rood / groen) |
|
* Aan / uit-schakelaar wordt gebruikt, b.v. voor huizen. |
* Knoppen worden bijvoorbeeld gebruikt voor geluiden. |
|
Als de knopfunctie is geactiveerd, wordt elke keer dat het bijbehorende bit wordt gewijzigd, een knopdruk gegenereerd.";"Une entrée de commande du centre de contrôle peut être interprétée comme un interrupteur marche / arrêt ou comme un bouton (rouge / vert). |
|
* Un interrupteur marche / arrêt est utilisé par ex. pour les maisons. |
* Les boutons sont utilisés pour les sons, par exemple. |
|
Si la fonction du bouton est activée, une pression sur le bouton est générée chaque fois que le bit correspondant est modifié.";"A control input from the traincontroller can either be On / off switch or interpreted as a button (red / green). * On / off switch is used e.g. for houses. * Buttons are used for sounds, for example.
If the button function is activated, each time the corresponding bit is changed, a button press is generated.";"A control input from the traincontroller can either be On / off switch or interpreted as a button (red / green). * On / off switch is used e.g. for houses. * Buttons are used for sounds, for example.
If the button function is activated, each time the corresponding bit is changed, a button press is generated.";En kontrolindgang fra traincontrolleren kan enten være | On / off-switch eller tolkes som en knap (rød / grøn). || * On / off switch bruges f.eks. til huse. | * Knapper bruges for eksempel til lyde. | Hvis knapfunktionen er aktiveret, genereres der et knaptryk, hver gang den tilsvarende bit ændres.
DialogBox;;Warte auf das Ende des Farbtest Programms;Wait for the color test program to finish;Wacht tot het kleurentest-programma is voltooid!;Attendez la fin du programme de test des couleurs;Wait for the color test program to finish;Wait for the color test program to finish;Vent til farvetestprogrammet er afsluttet
DialogBox;;"Das Farbtest Programm wird in einem eigenen Fenster ausgeführt. Damit können die Farben und Helligkeiten der LEDs Live verändert und betrachtet werden. Dazu sendet das Programm die entsprechenden Steuerbefehle an den Arduino per USB. Dieser steuert damit die LEDs an.|
Mit dem Farbtest Programm können die Farben in den Häusern angepasst werden.|
|
Für weitere Eingaben im Excel muss das Farbtest Programm beendet werden. |
|
Achtung: Es Dauert bis zu 20 Sekunden bis das Programm geladen ist...";"The color test program is carried out in a separate window. It is used to  change the colors and brightness of the LEDs live. The program sends the corresponding control commands to the Arduino via USB. This controls the LEDs.|
The colors in the houses can be adjusted with the color test program.|
|
The color test program must be ended for further entries in Excel.|
|
Attention: It takes up to 20 seconds until the program is loaded ...";"Het kleurentest-programma wordt in een apart venster uitgevoerd. Hiermee kunnen de kleuren en de helderheid van de LED's worden gewijzigd en live worden bekeken. Het programma stuurt de bijbehorende besturingsopdrachten via USB naar de Arduino. Dit bestuurt de LED's. |
De kleuren in de huizen kunnen worden aangepast met het kleurentest-programma |
|
Het kleurentest-programma moet worden beëindigd voor verdere invoer in Excel. |
|
Let op: Het duurt ongeveer 20 seconden voordat het programma is opgestart ... ";"Le programme de test des couleurs est exécuté dans une fenêtre séparée. Cela permet de changer les couleurs et la luminosité des LED et de les visualiser en direct. Le programme envoie les commandes de contrôle correspondantes à l'Arduino via USB. Cela contrôle les LED. |
Avec le programme de test de couleur, les couleurs dans les maisons peuvent être ajustées. |
|
Le programme de test de couleur doit être terminé pour d'autres entrées dans Excel. |
|
Attention: Il faut jusqu'à 20 secondes pour charger le programme ...";"The color test program is carried out in a separate window. It is used to  change the colors and brightness of the LEDs live. The program sends the corresponding control commands to the Arduino via USB. This controls the LEDs.The colors in the houses can be adjusted with the color test program.The color test program must be ended for further entries in Excel.Attention: It takes up to 20 seconds until the program is loaded ...";"The color test program is carried out in a separate window. It is used to  change the colors and brightness of the LEDs live. The program sends the corresponding control commands to the Arduino via USB. This controls the LEDs.The colors in the houses can be adjusted with the color test program.The color test program must be ended for further entries in Excel.Attention: It takes up to 20 seconds until the program is loaded ...";Farvetestprogrammet udføres i et separat vindue. Det bruges til at ændre lysdiodernes farver og lysstyrke. Programmet sender de tilsvarende kontrolkommandoer til Arduino via USB. Dette styrer lysdioderne. | ??Farverne i husene kan justeres med farvetestprogrammet. || Farvetestprogrammet skal afsluttes for yderligere poster i Excel. || Opmærksomhed: Det tager op til 20 sekunder, indtil programmet er indlæst ...
DialogBox;;Warten Abbrechen;Cancel wait;Wachten annuleren;Attendez annulation;Wait cancel;Wait cancel;Annuller vent
DialogBox;;Weitere Programme:;Other programs:;Other programs:;Autres programmes:;Altri programmi:;Otros programas:;Andre programmer:
DialogBox;;Tipp:Schnellauswahl mit Eingabe des Anfangsbuchstabens;Tip: Quick selection by entering the first letter;Tip: snelle selectie door de eerste letter in te voeren;Astuce: sélection rapide en entrant la première lettre;Suggerimento: selezione rapida inserendo la prima lettera;Consejo: Selección rápida ingresando la primera letra;Tip: Hurtigt valg ved at indtaste det første bogstav
;;;;;;;;
;;;;;;;;
VBA;; ||Die Eingaben in einer Zelle müssen mit Enter abgeschlossen werden bevor die Seite gewechselt wird.; ||The entries in a cell must be completed with Enter before the page is changed.;||De gegevens in een cel moeten worden ingevuld en met Enter worden bevestigd voordat de pagina kan worden gewijzigd.; ||Les entrées dans une cellule doivent être complétées avec Entrée avant que la page ne soit modifiée.; ||The entries in a cell must be completed with Enter before the page is changed.; ||The entries in a cell must be completed with Enter before the page is changed.; || Indtastningerne i en celle skal udfyldes med Enter, inden siden ændres.
VBA;;Aktiv;Active;Actief;Activé;Activ;Activ;Aktiv
VBA;;"Mit dieser Spalte kann man eine Zeile (zu Testzwecken) deaktivieren. 
Zeilen welche mit dem ""Aus- oder Einblenden"" Knopf oder dem Autofilter ausgeblendet sind werden ebenfalls nicht benutzt.";"With this column you can deactivate a line (for test purposes).
Lines which are hidden with the ""Hide or Show"" button or the auto filter are also not used.";"Met deze kolom kunt u een regel deactiveren (voor testdoeleinden). |
Lijnen die verborgen zijn met de knop ""Verbergen of Tonen"" of het automatische |
filter worden ook niet gebruikt.";"Avec cette colonne, vous pouvez désactiver une ligne (à des fins de test). |
Les lignes masquées avec le bouton ""Masquer ou afficher"". |
Ou le filtre automatique ne sont pas non plus utilisées.";"With this column you can deactivate a line (for test purposes).
Lines which are hidden with the ""Hide or Show"" button or the auto filter are also not used.";"With this column you can deactivate a line (for test purposes).
Lines which are hidden with the ""Hide or Show"" button or the auto filter are also not used.";"Med denne kolonne kan du deaktivere en linje (til testformål). Linjer, der er skjult med knappen ""Skjul eller vis"", eller autofiltret bruges heller ikke."
VBA;;Filter;Filter;Filter;filtre;Filter;Filter;Filter
VBA;;Diese Spalte kann zum Filtern nach bestimmten Gruppen benutzt werden. Für jede Gruppe kann hier ein gleicher Wert eingetragen werden. Dann kann man mit dem Autofilter bestimmte Gruppen aktivieren.;This column can be used to filter by certain groups. By entering the same value for each group you could activate certain groups with the autofilter.;"Deze kolom kan worden gebruikt om op bepaalde groepen te filteren. |
Voor elke groep kan hier dezelfde waarde worden ingevoerd. Vervolgens |
kunt u bepaalde groepen activeren met de autofilter.";"Cette colonne peut être utilisée pour filtrer par certains groupes. |
La même valeur peut être entrée ici pour chaque groupe. |
Ensuite, vous pouvez activer certains groupes avec le filtre automatique.";This column can be used to filter by certain groups. The same value can be entered here for each group. Then you can activate certain groups with the autofilter.;This column can be used to filter by certain groups. The same value can be entered here for each group. Then you can activate certain groups with the autofilter.;Denne kolonne kan bruges til at filtrere efter bestemte grupper. Ved at indtaste den samme værdi for hver gruppe kunne du aktivere bestemte grupper med autofilteret.
VBA;;DCC Adresse;DCC Address;DCC Adres;Adresse DCC;DCC address;DCC address;DCC-adresse
VBA;;Typ;Type;Type;Type;English;Type;Type
VBA;;"Typ des Eingangs:
AnAus, Rot, Grün";"Type of input:
On/Off, Red, Green";"Type invoer:
Aan/Uit, Rood, Groen";Type d'entrée: OnOff, rouge, vert;"Type of input:
OnOff, red, green";"Type of input:
OnOff, red, green";Type input: Til / Fra, Rød, Grøn
VBA;;SX Channel [0..99];SX Channel [0..99];SX Kanaal [0..99];Canal SX [0..99];SX Channel [0..99];SX Channel [0..99];SX Channel [0..99]
VBA;;Hier wird der Selectrix Kanal eingetragen;The Selectrix channel is entered here;Het Selectrix-kanaal wordt hier ingevoerd;Le canal Selectrix est entré ici;The Selectrix channel is entered here;The Selectrix channel is entered here;Selectrix-kanalen indtastes her
VBA;;Bitposition [1..8];Bitposition [1..8];Bitpositie [1..8];Position du bit [1..8];Bit position [1..8];Bit position [1..8];Bitposition [1..8]
VBA;;Hier wird die Bitposition innerhalb des Kanals eingetragen. ;The bit position within the channel is entered here.;De bitpositie binnen het kanaal wordt hier ingevoerd.;La position du bit dans le canal est entrée ici.;The bit position within the channel is entered here.;The bit position within the channel is entered here.;Bitpositionen inden for kanalen indtastes her.
VBA;;Start- wert;Starting value;Startwaarde;Valeur de départ;Start- val;Start- val;Startværdi
VBA;;Definiert den Startwert des Eingangskanals nachdem die Versorgungsspannung eingeschaltet wurde. Er ist gültig bis die entsprechende DCC Nachricht empfangen wird.;Defines the start value of the input channel after the supply voltage has been switched on. It is valid until the corresponding DCC message is received.;Bepaalt de startwaarde van het ingangskanaal nadat de voedingsspanning is ingeschakeld. Het is geldig tot het bijbehorende DCC-bericht is ontvangen.;Définit la valeur de démarrage du canal d'entrée après la mise sous tension de l'alimentation. Il est valable jusqu'à la réception du message DCC correspondant.;Defines the start value of the input channel after the supply voltage has been switched on. It is valid until the corresponding DCC message is received.;Defines the start value of the input channel after the supply voltage has been switched on. It is valid until the corresponding DCC message is received.;Definerer startværdien for indgangskanalen, efter at forsyningsspændingen er tændt. Den er gyldig, indtil den tilsvarende DCC-meddelelse er modtaget.
VBA;;Beschreibung;Description;Beschrijving;description;Description;Description;Beskrivelse
VBA;;Hier sollte ein beliebiger Text zur Dokumentation eingegeben werden damit man sich später wieder zurechtfindet. Mit Alt+Enter kann mit einer neuen Zeile begonnen werden.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;Alle tekst voor documentatie moet hier worden ingevoerd, zodat u later uw weg kunt vinden. U kunt een nieuwe regel starten met Alt + Enter.;Tout texte pour la documentation doit être entré ici afin que vous puissiez vous repérer plus tard. Vous pouvez commencer une nouvelle ligne avec Alt Enter.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;All tekst til dokumentation skal indtastes her, så du kan finde vej senere. Du kan starte en ny linje med Alt Enter.
VBA;;Verteiler- Nummer;Distribution number;Verdeler Nummer;Numéro de distribution;Distribution- number;Distribution- number;Distributionsnummer
VBA;;In dieser Spalte kann eine Nummer oder eine Bezeichnung des Verteilers eingetragen werden an dem die LEDs angeschlossen sind.;A number or a designation of the distributor to which the LEDs are connected can be entered in this column.;In deze kolom kan een nummer of een aanduiding van de distributeur worden ingevoerd waarop de LED's zijn aangesloten.;Un numéro ou une désignation du distributeur auquel les LED sont connectées peut être entré dans cette colonne.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;Et nummer eller en betegnelse på den distributør, som LED'erne er forbundet til, kan indtastes i denne kolonne.
VBA;;Stecker- Nummer;Connector number;Stekker Nummer;Numéro de connecteur;Connector- number;Connector- number;Forbindelsesnummer
VBA;;Hier kann die Nummer des Steckplatzes der Verteilerplatine eingetragen werden welche von der angeschlossenen Baugruppe benutzt wird.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Hier kunt u het nummer van het slot op het verdeelbord invoeren dat door de aangesloten module wordt gebruikt.;Ici, vous pouvez entrer le numéro de l'emplacement sur la carte de distribution utilisé par le module connecté.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Here you can enter the number of the slot on the distributor board which is used by the connected module.;Her kan du indtaste nummeret på sporet på fordelerkortet, der bruges af det tilsluttede modul.
VBA;;Beleuchtung, Sound, oder andere Effekte;Lighting, sound, or other effects;Verlichting, geluid of andere effecten;Éclairage, son ou autres effets;Lighting, sound, or other effects;Lighting, sound, or other effects;Belysning, lyd eller andre effekter
VBA;;"Hier werden mit einem Doppelklick oder dem ""Dialog"" Knopf die Funktionen zum ansteuern der LEDs oder der anderen Verbraucher eingetragen.
Achtung: Die Einträge sollten nur von Experten manuell verändert werden.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog""button.
Attention: The entries should only be changed manually by experts.";"De functies voor het aansturen van de LED's of andere verbruikers worden hier ingevoerd met een dubbelklik of de knop ""Dialoog"".
Let op: De invoer mag alleen handmatig door experts worden gewijzigd.";"Les fonctions de contrôle des LED ou autres consommateurs sont saisies ici par un double clic ou le bouton ""Dialogue"" Attention: Les entrées ne doivent être modifiées que manuellement par des experts.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"The functions for controlling the LEDs or other consumers are entered here with a double click or the ""Dialog"" button.
Attention: The entries should only be changed manually by experts.";"Funktioner til styring af lysdioder eller andre forbrugere indtastes her med et dobbeltklik eller knappen ""Dialog"". OBS: Indgange skal kun ændres manuelt af eksperter."
VBA;;Start LedNr;Start LedNr;Start LedNr;Démarrer LedNr;Start LedNr;Start LedNr;Start LedNr
VBA;;Diese Spalte enthält die Startnummer der ersten LED dieser Zeile. Die Nummer ergibt sich aus der Zeilenposition und der Anzahl der vorangegangenen LEDs. Die Zahl kann nicht verändert werden.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;Deze kolom bevat het startnummer van de eerste LED in deze regel. Het nummer is het resultaat van de lijnpositie en het aantal vorige LED's. Het nummer kan niet worden gewijzigd.;Cette colonne contient le numéro de départ de la première LED de cette ligne. Le nombre résulte de la position de la ligne et du nombre de LED précédentes. Le numéro ne peut pas être modifié.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;This column contains the start number of the first LED in this line. The number results from the line position and the number of previous LEDs. The number cannot be changed.;Denne kolonne indeholder startnummeret for den første LED i denne linje. Nummeret er resultatet af linjepositionen og antallet af tidligere LED'er. Nummeret kan ikke ændres.
VBA;;LEDs;LEDs;LEDs;LEDs;LEDs;LEDs;lysdioder
VBA;;"Hier wird automatisch die Anzahl der von dieser Zeile angesteuerten LEDs eingetragen. 
Achtung: Nicht manuell verändern";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually";"Het aantal LED's bestuurd door deze lijn wordt hier automatisch ingevoerd.
Waarschuwing: Verander dit niet handmatig! ";Le nombre de LED contrôlées par cette ligne est automatiquement saisi ici. Attention: ne changez pas manuellement;"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";"The number of LEDs controlled by this line is automatically entered here.
Warning: do not change manually.";Antallet af LED'er, der styres af denne linje, indtastes automatisk her. Advarsel: skift ikke manuelt
VBA;;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt
VBA;;"Diese Spalte enthält die Anzahl der benutzten Eingangskanäle. Sie wird automatisch vom Programm geschrieben.
Achtung: Nicht manuell ändern. ";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually.";"Deze kolom bevat het aantal gebruikte ingangskanalen. Het wordt automatisch door het programma geschreven.
Waarschuwing: Verander dit niet handmatig! ";Cette colonne contient le nombre de canaux d'entrée utilisés. Il est écrit automatiquement par le programme Attention: ne changez pas manuellement.;"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";"This column contains the number of input channels used. It is written automatically by the program.
Warning: do not change manually. ";Denne kolonne indeholder antallet af anvendte inputkanaler. Det skrives automatisk af programmet. Advarsel: skift ikke manuelt.
VBA;;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh
VBA;;"Sie enthält die Anzahl der lokal benutzten InCh Kanäle. Sie wird automatisch vom Programm geschrieben.
Achtung: Nicht manuell ändern.";"It contains the number of InCh channels used locally. It is written automatically by the program.
Warning: don't change manually.";"Het bevat het aantal lokaal gebruikte InCh-kanalen. Het wordt automatisch door het programma geschreven.
Waarschuwing: Verander dit niet handmatig! ";Il contient le nombre de canaux InCh utilisés localement. Il est écrit automatiquement par le programme Attention: ne changez pas manuellement.;"It contains the number of InCh channels used locally. It is written automatically by the program.
Warning: do not change manually.";"It contains the number of InCh channels used locally. It is written automatically by the program.
Warning: do not change manually.";Det indeholder antallet af InCh-kanaler, der bruges lokalt. Det skrives automatisk af programmet. Advarsel: skift ikke manuelt.
VBA;;CAN Adresse;CAN Adress;CAN Adres;Adresse CAN;CAN address;CAN address;CAN-adresse
VBA;;Hier wird die CAN Adresse zwischen 1 und 65535 eingetragen. Achtung die MS2 unterstützt nur den Bereich von 1 - 320.;The CAN address between 1 and 65535 is entered here. Attention the MS2 only supports the range from 1 - 320.;"Het CAN-adres tussen 1 en 65535 wordt hier ingevoerd. |
Let op: De MS2 ondersteunt alleen het bereik van 1 - 320.";L'adresse CAN comprise entre 1 et 65535 est entrée ici. Attention, le MS2 ne prend en charge que la plage de 1 à 320.;The CAN address between 1 and 65535 is entered here. Attention the MS2 only supports the range from 1 - 320.;The CAN address between 1 and 65535 is entered here. Attention the MS2 only supports the range from 1 - 320.;CAN-adressen mellem 1 og 65535 indtastes her. Bemærk, at MS2 kun understøtter intervallet 1 - 320.
VBA;;Typ;Type;Type;Type;English;Type;Type
VBA;;"Eingangs:
AnAus, Rot, Grün";"Input:
On/Off, Red, Green";"Type invoer:
Aan/Uit, Rood, Groen";Entrée: OnOff, rouge, vert;"Input:
On/Off, Red, Green";"Input:
On/Off, Red, Green";Input: On / Off, rød, grøn
VBA;;"Die ausgewählte Spalte sollte nur von erfahrenen Benutzern verändert werden.|
Es existiert keine Dialog gestützte Eingabe.";"The selected column should only be changed by experienced users. |
There is no dialog-based input.";"De geselecteerde kolom mag alleen worden gewijzigd door ervaren gebruikers. |
Er is geen op dialoog gebaseerde invoer mogelijk.";"La colonne sélectionnée ne doit être modifiée que par des utilisateurs expérimentés. |
Il n'y a pas d'entrée basée sur une boîte de dialogue.";"The selected column should only be changed by experienced users. There is no dialog-based input.";"The selected column should only be changed by experienced users. There is no dialog-based input.";Den valgte kolonne skal kun ændres af erfarne brugere. | Der er ingen dialogbaseret input.
VBA;;Spalte sollte nur von Experten verändert werden;Column should only be changed by experts;Kolom mag alleen door experts worden gewijzigd;La colonne ne doit être modifiée que par des experts;Column should only be changed by experts;Column should only be changed by experts;Kolonnen skal kun ændres af eksperter
