Liste der in der MobaLedLib verfügbaren Macros;;;;;;;;;;;L;;.\Icons;;;Test Language:;-1;;;09.08.2019;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Typ;Mode;LEDs or LED Channel;InCnt;OutCnt;Loc InCh;Tmp8Bit;SingleLEDCnt;Default Channel;Type;List Sort;Tree Sort;TreeView Mode;Picture Names;Macro;Find Name for detection of actual macro;Name;Group Names;Makroname in Deutsch;Kurzbeschreibung;Ausführliche Beschreibung;"Group Names
Englisch";"Macro name
English";"Kurzbeschreibung
English";"Ausführliche Beschreibung
English";"Group Names
Dutch";"Macro name
Dutch";"Kurzbeschreibung
Dutch";"Ausführliche Beschreibung
Dutch";"Group Names
French";"Macro name
French";"Kurzbeschreibung
French";"Ausführliche Beschreibung
French";"Group Names
Italian";"Macro name
Italian";"Kurzbeschreibung
Italian";"Ausführliche Beschreibung
Italian";"Group Names
Spain";"Macro name
Spain";"Kurzbeschreibung
Spain";"Ausführliche Beschreibung
Spain";"Group Names
Dänish";"Macro name
Dänish";"Kurzbeschreibung
Dänish";"Ausführliche Beschreibung
Dänisch"
;;C1-1;2?;0;0;0;1;;4;268;177;;SoundK | SoundG | SoundG_1uR;Sound_JQ6500_Next_of_N_Reset(LED, InCh, InReset, MaxSoundNr);Sound_JQ6500_Next_of_N_Reset(;Sound_JQ6500_Next_of_N_Reset;Sound | JQ6500;Titel n+1 abspielen, mit Reset;Nächste Sounddatei von N abspielen mit Reset Eingang;;Sound | JQ6500;Play track n 1, with reset;Play next sound file from N with reset input;;Geluid | JQ6500;Speel track n 1 af met reset;Speel het volgende geluidsbestand van N met reset-invoer;;Son | JQ6500;Lecture de la piste n 1, avec réinitialisation;Lire le fichier son suivant à partir de N avec entrée de réinitialisation;;Suono | JQ6500;Riproduci la traccia n. 1, con reset;Riproduci il prossimo file audio da N con input di reset;;Sonido | JQ6500;Reproducir pista n 1, con reinicio;Reproduzca el siguiente archivo de sonido de N con entrada de reinicio;;Lyd | JQ6500;Afspil spor n 1, med nulstilling;Afspil næste lydfil fra N med nulstillet input;
;;C1-1;1;0;0;0;1;;4;269;178;;SoundK | SoundG | SoundG_1u;Sound_JQ6500_Next_of_N(LED, InCh, MaxSoundNr);Sound_JQ6500_Next_of_N(;Sound_JQ6500_Next_of_N;Sound | JQ6500;Titel n+1 abspielen, mit Reset;Nächste Sounddatei von N abspielen mit Reset Eingang;;Sound | JQ6500;Play track n 1, with reset;Play next sound file from N with reset input;;Geluid | JQ6500;Speel track n 1 af met reset;Speel het volgende geluidsbestand van N met reset-invoer;;Son | JQ6500;Lecture de la piste n 1, avec réinitialisation;Lire le fichier son suivant à partir de N avec entrée de réinitialisation;;Suono | JQ6500;Riproduci la traccia n. 1, con reset;Riproduci il prossimo file audio da N con input di reset;;Sonido | JQ6500;Reproducir pista n 1, con reinicio;Reproduzca el siguiente archivo de sonido de N con entrada de reinicio;;Lyd | JQ6500;Afspil spor n 1, med nulstilling;Afspil næste lydfil fra N med nulstillet input;
;E;C1-2;1;0;0;0;1;;4;270;181;;SoundK | SoundG | SoundG_Adj;Sound_JQ6500_ADKey(     LED, InCh, ADKey);Sound_JQ6500_ADKey(;Sound_JQ6500_ADKey;Sound | JQ6500;Manuelle Steuerung;Manuelles Abrufen einer Sound Funktion für das JQ6500 Modul anhand individueller Helligkeitswerte.;Manuelles Abrufen einer Sound Funktion für das JQ6500 Modul anhand individueller Helligkeitswerte. Bei manchen Sound Modulen sind aufgrund von Toleranzen individuelle Werte zur Ansteuerung der Funktionen nötig.  Die Werte können mit dem Farbtest Programm ermittelt werden.;Sound | JQ6500;Manual control;Manual retrieval of a sound function for the JQ6500 module based on individual brightness values.;Manual retrieval of a sound function for the JQ6500 module based on individual brightness values. With some sound modules, individual values ??are required to control the functions due to tolerances. The values ??can be determined with the color test program.;Geluid | JQ6500;Handmatige bediening;Handmatige oproep van een geluidsfunctie voor de JQ6500-module op basis van individuele helderheidswaarden.;Handmatige oproep van een geluidsfunctie voor de JQ6500-module op basis van individuele helderheidswaarden. Bij sommige geluidsmodules zijn individuele waarden vereist om de functies te besturen vanwege toleranties. De waarden kunnen worden bepaald met het kleurentestprogramma.;Son | JQ6500;Contrôle manuel;Appel manuel d'une fonction sonore pour le module JQ6500 en fonction des valeurs de luminosité individuelles.;Appel manuel d'une fonction sonore pour le module JQ6500 en fonction des valeurs de luminosité individuelles. Avec certains modules sonores, des valeurs individuelles sont nécessaires pour contrôler les fonctions en raison des tolérances. Les valeurs peuvent être déterminées avec le programme de test de couleur.;Suono | JQ6500;Controllo manuale;Chiamata manuale di una funzione audio per il modulo JQ6500 basata su valori di luminosità individuali.;Chiamata manuale di una funzione audio per il modulo JQ6500 basata su valori di luminosità individuali. Con alcuni moduli sonori, sono necessari valori individuali per controllare le funzioni a causa delle tolleranze. I valori possono essere determinati con il programma di prova colore.;Sonido | JQ6500;Control manual;Llamada manual de una función de sonido para el módulo JQ6500 basada en valores de brillo individuales.;Llamada manual de una función de sonido para el módulo JQ6500 basada en valores de brillo individuales. Con algunos módulos de sonido, se requieren valores individuales para controlar las funciones debido a las tolerancias. Los valores se pueden determinar con el programa de prueba de color.;Lyd | JQ6500;Manuel kontrol;Manuel opkald af en lydfunktion til JQ6500-modulet baseret på individuelle lysstyrkeværdier.;Manuel opkald af en lydfunktion til JQ6500-modulet baseret på individuelle lysstyrkeværdier. På nogle lydmoduler kræves individuelle værdier for at kontrollere funktionerne på grund af tolerancer. Værdierne kan bestemmes med farvetestprogrammet.
;;C1-1;1;0;0;0;1;;4;271;189;;SoundK | SoundC | SoundC_B;Sound_JQ6500_BG_Prev(  LED, InCh);Sound_JQ6500_BG_Prev(;Sound_JQ6500_BG_Prev;Sound | JQ6500 Blau <-> Grün;Vorheriger Titel;Wiedergabe der vorherigen Sound Datei;;Sound | JQ6500 blue <-> green;Previous track;Play the previous sound file;;Geluid | JQ6500 blauw <-> groen;Vorig nummer;Speel het vorige geluidsbestand af;;Son | JQ6500 bleu <-> vert;Piste précédente;Lire le fichier son précédent;;Suono | JQ6500 blu <-> verde;Traccia precedente;Riproduci il file audio precedente;;Sonido | JQ6500 azul <-> verde;Pista anterior;Reproduce el archivo de sonido anterior;;Lyd | JQ6500 blå <-> grøn;Forrige nummer;Afspil den forrige lydfil;
;;C1-1;1;0;0;0;1;;4;272;190;;SoundK | SoundC | SoundC_F;Sound_JQ6500_BG_Next(  LED, InCh);Sound_JQ6500_BG_Next(;Sound_JQ6500_BG_Next;Sound | JQ6500 Blau <-> Grün;Nächster Titel;Wiedergabe der nächsten Sound Datei;;Sound | JQ6500 blue <-> green;Next track;Play the next sound file;;Geluid | JQ6500 blauw <-> groen;Volgende nummer;Speel het volgende geluidsbestand af;;Son | JQ6500 bleu <-> vert;Piste suivante;Lire le fichier son suivant;;Suono | JQ6500 blu <-> verde;Prossima traccia;Riproduci il prossimo file audio;;Sonido | JQ6500 azul <-> verde;Siguiente pista;Reproduce el siguiente archivo de sonido;;Lyd | JQ6500 blå <-> grøn;Næste nummer;Afspil den næste lydfil;
;;C1-1;1;0;0;0;1;;4;273;194;;SoundK | SoundC | SoundC_Minus;Sound_JQ6500_BG_DecVol(LED, InCh, Steps);Sound_JQ6500_BG_DecVol(;Sound_JQ6500_BG_DecVol;Sound | JQ6500 Blau <-> Grün;Leiser;Lautstärke reduzieren;;Sound | JQ6500 blue <-> green;Reduce volume;Reduce volume;;Geluid | JQ6500 blauw <-> groen;Volume verminderen;Volume verlagen;;Son | JQ6500 bleu <-> vert;Réduire le volume;Réduisez le volume;;Suono | JQ6500 blu <-> verde;Ridurre il volume;Ridurre il volume;;Sonido | JQ6500 azul <-> verde;Reducir el volumen;Reducir el volumen;;Lyd | JQ6500 blå <-> grøn;Reducer volumen;Reducer lydstyrken;
;;C1-1;1;0;0;0;1;;4;274;193;;SoundK | SoundC | SoundC_Plus;Sound_JQ6500_BG_IncVol(LED, InCh, Steps);Sound_JQ6500_BG_IncVol(;Sound_JQ6500_BG_IncVol;Sound | JQ6500 Blau <-> Grün;Lauter;Lautstärke erhöhen;;Sound | JQ6500 blue <-> green;Increase volume;Increase volume;;Geluid | JQ6500 blauw <-> groen;Volume verhogen;Volume verhogen;;Son | JQ6500 bleu <-> vert;Augmenter le volume;Augmentez le volume;;Suono | JQ6500 blu <-> verde;Aumenta il volume;Aumentare il volume;;Sonido | JQ6500 azul <-> verde;Aumenta el volumen;Aumenta el volumen;;Lyd | JQ6500 blå <-> grøn;Øg volumen;Forøg lydstyrken;
;;C1-1;1;0;0;0;1;;4;275;183;;SoundK | SoundC | SoundC_01;Sound_JQ6500_BG_Seq1(  LED, InCh);Sound_JQ6500_BG_Seq1(;Sound_JQ6500_BG_Seq1;Sound | JQ6500 Blau <-> Grün;Titel 1 abspielen;Sounddatei 1 abspielen;;Sound | JQ6500 blue <-> green;Play track 1;Play sound file 1;;Geluid | JQ6500 blauw <-> groen;Speel nummer 1 . af;Geluidsbestand afspelen 1;;Son | JQ6500 bleu <-> vert;Lire la piste 1;Lire le fichier son 1;;Suono | JQ6500 blu <-> verde;Riproduci traccia 1;Riproduci file audio 1;;Sonido | JQ6500 azul <-> verde;Reproducir pista 1;Reproducir archivo de sonido 1;;Lyd | JQ6500 blå <-> grøn;Afspil spor 1;Afspil lydfil 1;
;;C1-1;1;0;0;0;1;;4;276;184;;SoundK | SoundC | SoundC_02;Sound_JQ6500_BG_Seq2(  LED, InCh);Sound_JQ6500_BG_Seq2(;Sound_JQ6500_BG_Seq2;Sound | JQ6500 Blau <-> Grün;Titel 2 abspielen;Sounddatei 2 abspielen;;Sound | JQ6500 blue <-> green;Play track 2;Play sound file 2;;Geluid | JQ6500 blauw <-> groen;Speel nummer 2 . af;Geluidsbestand afspelen 2;;Son | JQ6500 bleu <-> vert;Lire la piste 2;Lire le fichier son 2;;Suono | JQ6500 blu <-> verde;Riproduci traccia 2;Riproduci file audio 2;;Sonido | JQ6500 azul <-> verde;Reproducir pista 2;Reproducir archivo de sonido 2;;Lyd | JQ6500 blå <-> grøn;Afspil nummer 2;Afspil lydfil 2;
;;C1-1;1;0;0;0;1;;4;277;185;;SoundK | SoundC | SoundC_03;Sound_JQ6500_BG_Seq3(  LED, InCh);Sound_JQ6500_BG_Seq3(;Sound_JQ6500_BG_Seq3;Sound | JQ6500 Blau <-> Grün;Titel 3 abspielen;Sounddatei 3 abspielen;;Sound | JQ6500 blue <-> green;Play track 3;Play sound file 3;;Geluid | JQ6500 blauw <-> groen;Speel nummer 3 . af;Geluidsbestand afspelen 3;;Son | JQ6500 bleu <-> vert;Lire la piste 3;Lire le fichier son 3;;Suono | JQ6500 blu <-> verde;Riproduci traccia 3;Riproduci file audio 3;;Sonido | JQ6500 azul <-> verde;Reproducir pista 3;Reproducir archivo de sonido 3;;Lyd | JQ6500 blå <-> grøn;Afspil spor 3;Afspil lydfil 3;
;;C1-1;1;0;0;0;1;;4;278;186;;SoundK | SoundC | SoundC_04;Sound_JQ6500_BG_Seq4(  LED, InCh);Sound_JQ6500_BG_Seq4(;Sound_JQ6500_BG_Seq4;Sound | JQ6500 Blau <-> Grün;Titel 4 abspielen;Sounddatei 4 abspielen;;Sound | JQ6500 blue <-> green;Play track 4;Play sound file 4;;Geluid | JQ6500 blauw <-> groen;Speel nummer 4 . af;Geluidsbestand afspelen 4;;Son | JQ6500 bleu <-> vert;Lire la piste 4;Lire le fichier son 4;;Suono | JQ6500 blu <-> verde;Riproduci traccia 4;Riproduci file audio 4;;Sonido | JQ6500 azul <-> verde;Reproducir pista 4;Reproducir archivo de sonido 4;;Lyd | JQ6500 blå <-> grøn;Afspil spor 4;Afspil lydfil 4;
;;C1-1;1;0;0;0;1;;4;279;187;;SoundK | SoundC | SoundC_05;Sound_JQ6500_BG_Seq5(  LED, InCh);Sound_JQ6500_BG_Seq5(;Sound_JQ6500_BG_Seq5;Sound | JQ6500 Blau <-> Grün;Titel 5 abspielen;Sounddatei 5 abspielen;;Sound | JQ6500 blue <-> green;Play track 5;Play sound file 5;;Geluid | JQ6500 blauw <-> groen;Speel nummer 5 . af;Geluidsbestand afspelen 5;;Son | JQ6500 bleu <-> vert;Lire la piste 5;Lire le fichier son 5;;Suono | JQ6500 blu <-> verde;Riproduci traccia 5;Riproduci file audio 5;;Sonido | JQ6500 azul <-> verde;Reproducir pista 5;Reproducir archivo de sonido 5;;Lyd | JQ6500 blå <-> grøn;Afspil spor 5;Afspil lydfil 5;
;;C1-1;1;0;0;0;1;;4;280;188;;SoundK | SoundC | SoundC_R;Sound_JQ6500_BG_PlayRandom(LED, InCh, MaxSoundNr);Sound_JQ6500_BG_PlayRandom(;Sound_JQ6500_BG_PlayRandom;Sound | JQ6500 Blau <-> Grün;Zufallswiedergabe;Zufällige Sounddatei abspielen;;Sound | JQ6500 blue <-> green;Random play;Play random sound file;;Geluid | JQ6500 blauw <-> groen;Afspelen in willekeurige volgorde;Speel een willekeurig geluidsbestand af;;Son | JQ6500 bleu <-> vert;Jeu aléatoire;Lire un fichier son aléatoire;;Suono | JQ6500 blu <-> verde;Gioco casuale;Riproduci file audio casuale;;Sonido | JQ6500 azul <-> verde;Reproducción aleatoria;Reproducir archivo de sonido aleatorio;;Lyd | JQ6500 blå <-> grøn;Tilfældigt spil;Afspil tilfældig lydfil;
;;C1-1;2?;0;0;0;1;;4;281;191;;SoundK | SoundC | SoundC_1uR;Sound_JQ6500_BG_Next_of_N_Reset(LED, InCh, InReset, MaxSoundNr);Sound_JQ6500_BG_Next_of_N_Reset(;Sound_JQ6500_BG_Next_of_N_Reset;Sound | JQ6500 Blau <-> Grün;Titel n+1 abspielen, mit Reset;Nächste Sounddatei von N abspielen mit Reset Eingang;;Sound | JQ6500 blue <-> green;Play track n 1, with reset;Play next sound file from N with reset input;;Geluid | JQ6500 blauw <-> groen;Speel track n 1 af met reset;Speel het volgende geluidsbestand van N met reset-invoer;;Son | JQ6500 bleu <-> vert;Lecture de la piste n 1, avec réinitialisation;Lire le fichier son suivant à partir de N avec entrée de réinitialisation;;Suono | JQ6500 blu <-> verde;Riproduci la traccia n. 1, con reset;Riproduci il prossimo file audio da N con input di reset;;Sonido | JQ6500 azul <-> verde;Reproducir pista n 1, con reinicio;Reproduzca el siguiente archivo de sonido de N con entrada de reinicio;;Lyd | JQ6500 blå <-> grøn;Afspil spor n 1, med nulstilling;Afspil næste lydfil fra N med nulstillet input;
;;C1-1;1;0;0;0;1;;4;282;192;;SoundK | SoundC | SoundC_1u;Sound_JQ6500_BG_Next_of_N(LED, InCh, MaxSoundNr);Sound_JQ6500_BG_Next_of_N(;Sound_JQ6500_BG_Next_of_N;Sound | JQ6500 Blau <-> Grün;Titel n+1 abspielen, mit Reset;Nächste Sounddatei von N abspielen mit Reset Eingang;;Sound | JQ6500 blue <-> green;Play track n 1, with reset;Play next sound file from N with reset input;;Geluid | JQ6500 blauw <-> groen;Speel track n 1 af met reset;Speel het volgende geluidsbestand van N met reset-invoer;;Son | JQ6500 bleu <-> vert;Lecture de la piste n 1, avec réinitialisation;Lire le fichier son suivant à partir de N avec entrée de réinitialisation;;Suono | JQ6500 blu <-> verde;Riproduci la traccia n. 1, con reset;Riproduci il prossimo file audio da N con input di reset;;Sonido | JQ6500 azul <-> verde;Reproducir pista n 1, con reinicio;Reproduzca el siguiente archivo de sonido de N con entrada de reinicio;;Lyd | JQ6500 blå <-> grøn;Afspil spor n 1, med nulstilling;Afspil næste lydfil fra N med nulstillet input;
;;;;;;;;;;283;296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;C1-1;1;0;0;0;1;;4;284;196;;SoundK | SoundB | SoundB_CMD;MP3_CMD(#LED, #InCh, MP3Command);MP3_CMD(;MP3_CMD;Sound | ATTiny85;Befehl an Soundmodul;Befehl an Soundmodul über Servoplatine;"Sendet einen Befehl an ein MP3-TF-16p-Soundmodul welches über SERVO3 an einer Servoplatine angeschlossen ist.
MP3_NEXT
MP3_PREV
MP3_INCREASE_VOLUME
MP3_DECREASE_VOLUME
MP3_STANDBY
MP3_RESET
MP3_PLAY
MP3_PAUSE
MP3_STOP
MP3_STOP_ADVERT";Sound | ATTiny85;Command to sound module;;;Geluid | ATtiny85;Commando naar geluidsmodule;;;Son | ATTiny85;Commande au module de sons;;;Suono | ATTiny85;Comando al modulo sonoro;;;Sonido | ATTiny85;Comando al módulo de sonido;;;Lyd | ATTiny85;Kommando til lydmodul;;
;;C1-1;1;0;0;0;1;;4;285;197;;SoundK | SoundB | SoundB_PP;MP3_TRACK(#LED, #InCh, MP3TrackCommand, MP3TrackNumber);MP3_TRACK(;MP3_TRACK;Sound | ATTiny85;Titel # abspielen;Track auf Soundmodul über Servoplatine abspielen;"Spielt einen Track von einem Soundmodul MP3-TF-16p welches über SERVO3 an einer Servoplatine angeschlossen ist.
Befehle:
MP3_PLAY_TRACK (Wurzelverzeichns)
MP3_PLAY_TRACK_REPEAT (Wurzelverzeichnis mit Repeat)
MP3_PLAY_ADVERT (\ADVERT\xxxx.mp3/wav)
MP3_PLAY_FOLDER_REPEAT (Alle Dateien aus Verzeichnis endlos)
MP3_PLAY_MP3 (\mp3\xxxx.mp3/wav)
Tracknummern 1-1024";Sound | ATTiny85;Play the track #;;;Geluid | ATtiny85;Speel het nummer #;;;Son | ATTiny85;Joue le morceau #;;;Suono | ATTiny85;Riproduci la traccia #;;;Sonido | ATTiny85;Reproducir la pista #;;;Lyd | ATTiny85;Afspil nummeret #;;
;;C1-1;1;0;0;0;1;;4;286;198;;SoundK | SoundB | SoundB_Set;MP3_SET(#LED, #InCh, MP3SetCommand, MP3Value);MP3_SET(;MP3_SET;Sound | ATTiny85;Einstellungen;MP3-TF-16p einstellen;"MP3-TF-16p einstellen
Werte für MP3_SET_EQ: 0-5 (MP3_EQ_NORMAL, MP3_EQ_POP, MP3_EQ_ROCK, MP3_EQ_JAZZ, MP3_EQ_CLASSIC, MP3_EQ_BASS)
Werte für Volume: 0-31
Werte für Repeat: 0/1 ";Sound | ATTiny85;Settings;;;Geluid | ATtiny85;Instellingen;;;Son | ATTiny85;Paramètres;;;Suono | ATTiny85;Impostazioni;;;Sonido | ATTiny85;Ajustes;;;Lyd | ATTiny85;Indstillinger;;
;;C1-1;1;0;0;0;1;;4;287;199;;SoundK | SoundB | SoundB_PF;MP3_PLAY_FOLDER_TRACK(#LED, #InCh, MP3Folder, MP3ShortTrack);MP3_PLAY_FOLDER_TRACK(;MP3_PLAY_FOLDER_TRACK;Sound | ATTiny85;Titel aus Ordner abspielen;MP3-TF-16p, Track aus Ordner abspielen;MP3-TF-16p, Track aus Ordner abspielen;Sound | ATTiny85;Play tracks from folder;;;Geluid | ATtiny85;Speel nummers uit de map;;;Son | ATTiny85;Lire les pistes du dossier;;;Suono | ATTiny85;Riproduci brani dalla cartella;;;Sonido | ATTiny85;Reproducir pistas de la carpeta;;;Lyd | ATTiny85;Afspil numre fra mappe;;
;;C1-1;1;0;0;0;1;;4;288;200;;SoundK | SoundB | SoundB_Pin;MP3_SELECT_MODULE(#LED, #InCh, MP3Module);MP3_SELECT_MODULE(;MP3_SELECT_MODULE;Sound | ATTiny85;Pin MP3-Modul definieren;Anschluss für MP3-Modul auswählen;Anschluss für MP3-Modul auswählen;Sound | ATTiny85;Define pin MP3 module;;;Geluid | ATtiny85;Definieer pin MP3-module;;;Son | ATTiny85;Définir la broche du module MP3;;;Suono | ATTiny85;Definisci modulo MP3 pin;;;Sonido | ATTiny85;Definir módulo MP3 pin;;;Lyd | ATTiny85;Definer pin MP3-modul;;
;;C1-1;1;0;0;0;1;;4;289;201;;SoundK | SoundB | SoundB_Src;MP3_SET_TYPE(#LED, #InCh, MP3Module, MP3Type);MP3_SET_TYPE(;MP3_SET_TYPE;Sound | ATTiny85;Soundmodul definieren;Typ für angeschlossenes MP3-Modul einstellen;Anschluss für MP3-Modul auswählen;Sound | ATTiny85;Define sound module;;;Geluid | ATtiny85;Definieer geluidsmodule;;;Son | ATTiny85;Définir le module de sons;;;Suono | ATTiny85;Definisci il modulo sonoro;;;Sonido | ATTiny85;Definir módulo de sonido;;;Lyd | ATTiny85;Definer lydmodul;;
;;C1-1;1;0;0;0;1;;4;290;202;;SoundK | SoundB | SoundB_Track;MP3_PLAY_TRACK_ON(#LED, #InCh, MP3Module, MP3TrackNumber2);MP3_PLAY_TRACK_ON(;MP3_PLAY_TRACK_ON;Sound | ATTiny85;Titel # aus Hauptverzeichnis abspielen;Track # vom angegebenen Modul abspielen (Rootverzeichnis);Track # vom angegebenen Modul abspielen (Rootverzeichnis);Sound | ATTiny85;Play the title # from the main directory;;;Geluid | ATtiny85;Speel de titel # uit de hoofddirectory;;;Son | ATTiny85;Jouez le titre # depuis le répertoire principal;;;Suono | ATTiny85;Riproduci il titolo # dalla directory principale;;;Sonido | ATTiny85;Reproduce el título # del directorio principal;;;Lyd | ATTiny85;Afspil titlen # fra hovedbiblioteket;;
;;C1-1;1;0;0;0;1;;4;291;203;;SoundK | SoundB | SoundB_Track;MP3_PLAY_MP3_ON(#LED, #InCh, MP3Module, MP3TrackNumber2);MP3_PLAY_MP3_ON(;MP3_PLAY_MP3_ON;Sound | ATTiny85;Titel # aus mp3 abspielen;Track # aus mp3 auf Modul abspielen;Track # aus mp3 auf Modul abspielen;Sound | ATTiny85;Play title # from mp3;;;Geluid | ATtiny85;Speel titel # van mp3;;;Son | ATTiny85;Jouer le titre # à partir du mp3;;;Suono | ATTiny85;Riproduci titolo # da mp3;;;Sonido | ATTiny85;Reproducir título # de mp3;;;Lyd | ATTiny85;Afspil titel # fra mp3;;
;E;;;;;;;;;292;346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;S;0;0;0;0;0;;4;293;205;;SoundK | SoundM | SoundM_Pin;SOUND_CHANNEL_DEFINITON(Pin_NumberK80, MP3SerialType);SOUND_CHANNEL_DEFINITON(;SOUND_CHANNEL_DEFINITON;Sound | Hauptplatine;Soundmodul wählen;Pin des serielles Soundmoduls definieren;"Einen Pin der Hautplatinen zur seriellen Ansteuerung eines Sound Moduls sowie den Typ des angeschlossenen Soundmoduls definieren. 
Die Pin Nummer kann als Zahl, oder als symbolische Konstante angegeben werden.
Beispiel: KEY80_P1

Der Typ bestimmt das Protokoll, mit dem das Soundmodul gesteuert wird.
Manche MP3-TF Module haben einen Fehler und müssen mit der Variante NO_CRC (keine Prüfsumme) angesprochen werden. Module mit folgenden Sound Chip Nummern wurde bisher als fehlerhaft identifiziert: MH2024K-16SS";Sound | Mainboard;Select sound module;Define the pin of the serial sound module;"Define a pin on the main circuit board for the serial control of a sound module and the type of the connected sound module. 
The pin number can be specified as a number or as a symbolic constant. 
Example: KEY80_P1 
 
The type determines the protocol with which the sound module is controlled. 
Some MP3-TF modules have an error and must be addressed with the variant NO_CRC (no checksum). Modules with the following sound chip numbers have so far been identified as faulty: MH2024K-16SS";Geluid | Moederbord;Selecteer geluidsmodule;Definieer de pin van de seriële geluidsmodule;"Definieer een pin op de hoofdprintplaat voor de seriële aansturing van een geluidsmodule en het type van de aangesloten geluidsmodule. 
 Het pinnummer kan worden opgegeven als een getal of als een symbolische constante. 
 Voorbeeld: KEY80_P1 
 
 Het type bepaalt het protocol waarmee de geluidsmodule wordt aangestuurd. 
 Sommige MP3-TF-modules hebben een fout en moeten worden geadresseerd met de variant NO_CRC (geen controlesom). Modules met de volgende geluidschipnummers zijn tot nu toe als defect aangemerkt: MH2024K-16SS";Son | Carte mère;Sélectionnez le module de son;Définir la broche du module de son série;"Définissez une broche sur le circuit imprimé principal pour le contrôle série d'un module de sons et le type de module de sons connecté. 
 Le numéro de broche peut être spécifié sous forme de nombre ou de constante symbolique. 
 Exemple : KEY80_P1 
 
 Le type détermine le protocole avec lequel le module de sons est contrôlé. 
 Certains modules MP3-TF ont une erreur et doivent être adressés avec la variante NO_CRC (pas de somme de contrôle). Les modules avec les numéros de puces sonores suivants ont jusqu'à présent été identifiés comme défectueux : MH2024K-16SS";Suono | Scheda principale;Seleziona il modulo sonoro;Definire il pin del modulo sonoro seriale;"Definire un pin sulla scheda principale per il controllo seriale di un modulo sonoro e il tipo di modulo sonoro collegato. 
 Il numero di pin può essere specificato come numero o come costante simbolica. 
 Esempio: KEY80_P1 
 
 Il tipo determina il protocollo con cui viene controllato il modulo sonoro. 
 Alcuni moduli MP3-TF presentano un errore e devono essere indirizzati con la variante NO_CRC (no checksum). Finora i moduli con i seguenti numeri di chip audio sono stati identificati come difettosi: MH2024K-16SS";Sonido | Placa base;Seleccionar módulo de sonido;Definir el pin del módulo de sonido en serie;"Defina un pin en la placa de circuito principal para el control en serie de un módulo de sonido y el tipo de módulo de sonido conectado. 
 El número de pin se puede especificar como un número o como una constante simbólica. Ejemplo de 
: KEY80_P1 
 
 El tipo determina el protocolo con el que se controla el módulo de sonido. 
 Algunos módulos MP3-TF tienen un error y deben direccionarse con la variante NO_CRC (sin suma de comprobación). Los módulos con los siguientes números de chip de sonido se han identificado hasta ahora como defectuosos: MH2024K-16SS";Lyd | Bundkort;Vælg lydmodul;Definer stiften til det serielle lydmodul;"Definer en pin på hovedprintkortet til seriel kontrol af et lydmodul og typen af ??det tilsluttede lydmodul. 
 Pin-nummeret kan angives som et tal eller som en symbolsk konstant. 
 Eksempel: KEY80_P1 
 
 Typen bestemmer den protokol, som lydmodulet styres med. 
 Nogle MP3-TF-moduler har en fejl og skal adresseres med varianten NO_CRC (ingen kontrolsum). Moduler med følgende lydchipnumre er indtil videre blevet identificeret som defekte: MH2024K-16SS"
;;S;1;0;0;0;0;;4;294;206;;SoundK | SoundM | SoundM_Track;SOUND_CHANNEL_PLAY_TRACK(#LED, #InCh, MP3TrackNumber2);SOUND_CHANNEL_PLAY_TRACK(;SOUND_CHANNEL_PLAY_TRACK;Sound | Hauptplatine;Titel # abspielen;Track # vom angegebenen Modul abspielen (Rootverzeichnis);Track # auf einem angegebenen Soundkanal starten (Rootverzeichnis);Sound | Mainboard;Play the track #;;;Geluid | Moederbord;Speel het nummer #;;;Son | Carte mère;Joue le morceau #;;;Suono | Scheda principale;Riproduci la traccia #;;;Sonido | Placa base;Reproducir la pista #;;;Lyd | Bundkort;Afspil nummeret #;;
;;S;1;0;0;0;2;;4;295;212;;SoundK | SoundM | SoundM_Minus;SOUND_CHANNEL_DECREASE_VOLUME(#LED, #InCh);SOUND_CHANNEL_DECREASE_VOLUME(;SOUND_CHANNEL_DECREASE_VOLUME;Sound | Hauptplatine;Leiser;Lautstärke reduzieren;;Sound | Mainboard;Reduce volume;Reduce volume;;Geluid | Moederbord;Volume verminderen;Volume verminderen;;Son | Carte mère;Réduire le volume;Réduire le volume;;Suono | Scheda principale;Ridurre il volume;Ridurre il volume;;Sonido | Placa base;Reducir el volumen;Reducir el volumen;;Lyd | Bundkort;Reducer volumen;Reducer lydstyrken;
;;S;1;0;0;0;0;;4;296;207;;SoundK | SoundM | SoundM_R;SOUND_CHANNEL_PLAY_RANDOM(#LED, #InCh, MP3TrackNumberFrom, MP3TrackNumberTo);SOUND_CHANNEL_PLAY_RANDOM(;SOUND_CHANNEL_PLAY_RANDOM;Sound | Hauptplatine;Zufälligen Titel abspielen;Zufälligen Titel vom angegebenen Modul abspielen (Rootverzeichnis);Im Makro wird ein Bereich von Track # angegeben. Aus diesem Breich wird ein zufälliger Track abgespielt;Sound | Mainboard;Play random track;;;Geluid | Moederbord;Speel willekeurig nummer af;;;Son | Carte mère;Lire une piste au hasard;;;Suono | Scheda principale;Riproduci traccia casuale;;;Sonido | Placa base;Reproducir pista aleatoria;;;Lyd | Bundkort;Afspil tilfældigt spor;;
