ParName;Cnt;Type;Min;Max;Default;Options;Input Text;Hint;Implementation comment;"Input Text
English";"Hint
English";"Input Text
Dutch";"Hint
Dutch";"Input Text
French";"Hint
French";"Input Text
Italian";"Hint
Italian";"Input Text
Spanish";"Hint
Spanish";"Input Text
Duch";"Hint
Duch";
MaxOn;2;Time;1;1048560;10 Sek;;Maximal aktive Zeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Maximum active time;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Maximale actieve tijd;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps actif maximum;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo attivo massimo;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Máximo tiempo activo;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Maksimal aktiv tid;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
InCh_Cnt;2;;1;64;3;;Anzahl der Eingänge;Anzahl der verwendeten InCh Variablen;;Number of inputs;Number of InCh variables used;Aantal ingangen;Aantal gebruikte InCh-variabelen;Nombre d'entrées;Nombre de variables InCh utilisées;Numero di ingressi;Numero di variabili InCh utilizzate;Numero de entradas;Número de variables InCh utilizadas;Antal input;Antal anvendte InCh-variabler;
Pause;2;Time;1;1048560;0.5 Sek;;Pausenzeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;break time;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";pauzetijd;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";temps de pause;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";pausa;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";descanso;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";pause;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
Act;2;Time;1;1048560;0.5 Sek;;Aktive Zeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Active time;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Actieve tijd;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps actif;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo attivo;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Tiempo activo;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Aktiv tid;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
InReset;2;Var;0;255;SI_0;;Reset Eingangsvariable;;;Reset input variable;;Reset ingangsvariabele;;Réinitialiser la variable d'entrée;;Reimposta variabile di input;;Restablecer variable de entrada;;Nulstil inputvariabel;;
LedCnt;1;;3;250;3;;LED Anzahl;Anzahl der benutzten LEDs für die Feuer Simulation;;LED number;Number of LEDs used for fire simulation;LED nummer;Aantal LED's gebruikt voor brandsimulatie;Numéro de LED;Nombre de LED utilisées pour la simulation d'incendie;Numero LED;Numero di LED utilizzati per la simulazione del fuoco;Número de LED;Número de LED utilizados para la simulación de incendios.;LED-nummer;Antal LED'er, der bruges til brandsimulering;
LedCnt_Res;1;;1;100;3;;Anzahl reservierter LEDs;Anzahl der reservierten LEDs. Diese LEDs werden übersprungen. ;;Number of reserved LEDs;Number of reserved LEDs. These LEDs are skipped.;Aantal gereserveerde LED's;Aantal gereserveerde LED's. Deze LED's worden overgeslagen.;Nombre de LED réservées;Nombre de LED réservées. Ces LED sont ignorées.;Numero di LED riservati;Numero di LED riservati. Questi LED vengono saltati.;Cantidad de LED reservados;Número de LED reservados. Estos LED se omiten.;Antal reserverede lysdioder;Antal reserverede lysdioder. Disse LED'er springes over.;
LedCnt_Nxt;1;;-20;20;1;;Änderung von StartLedNr;Ändert die StartLedNr des folgenden Befehls;;Change of StartLedNr;Changes the StartLedNr of the following command;Wijziging van StartLedNr;Wijzigt de StartLedNr van de volgende opdracht;Changement de StartLedNr;Modifie le StartLedNr de la commande suivante;Cambio di StartLedNr;Modifica StartLedNr del seguente comando;Cambio de StartLedNr;Cambia el StartLedNr del siguiente comando;Ændring af StartLedNr;Ændrer StartLedNr for følgende kommando;
Brightness;1;;1;255;200;;Helligkeit;Helligkeit der Feuersimulation;;brightness;Brightness of the fire simulation;helderheid;Helderheid van de brandsimulatie;luminosité;Luminosité de la simulation d'incendie;luminosità;Luminosità della simulazione del fuoco;brillo;Brillo de la simulación de fuego.;lysstyrke;Brandsimuleringens lysstyrke;
Enable;1;InpVar;0;250;SI_1;;Nummer der Enable Eingangs;;;Number of the enable input;;Nummer van de vrijgave-invoer;;Numéro de l'entrée de validation;;Numero dell'ingresso di abilitazione;;Número de entrada habilitada;;Nummer på aktiveringsindgangen;;
SrcLED;1;;0;255;;;Nummer der Quell LED;Die Helligkeitswerte werden von dieser LED kopiert;;Number of the source LED;The brightness values ??are copied from this LED;Nummer van de bron-LED;De helderheidswaarden worden van deze LED gekopieerd;Numéro de la source LED;Les valeurs de luminosité sont copiées à partir de cette LED;Numero del LED sorgente;I valori di luminosità vengono copiati da questo LED;Número de la fuente LED;Los valores de brillo se copian de este LED;Kildens LED-nummer;Lysstyrkeværdierne kopieres fra denne LED;
EnableCh;1;InpVar;0;250;SI_1;;Nummer der Enable Eingangs;;;Number of the enable input;;Nummer van de vrijgave-invoer;;Numéro de l'entrée de validation;;Numero dell'ingresso di abilitazione;;Número de entrada habilitada;;Nummer på aktiveringsindgangen;;
Start;1;;0;255;60;;Startwert;(Helligkeits-) Wert ab dem die Schedule Funktion aktiv ist;;start value;(Brightness) value from which the schedule function is active;startwaarde;(Helderheid) waarde van waaruit de planningsfunctie actief is;valeur de départ;Valeur (luminosité) à partir de laquelle la fonction de programmation est active;valore iniziale;Valore (Luminosità) da cui è attiva la funzione di pianificazione;valor inicial;(Brillo) valor desde el cual la función de programación está activa;startværdi;(Lysstyrke) værdi, hvor planlægningsfunktionen er aktiv fra;
End;1;;0;255;110;;Endwert;(Helligkeits-) Wert ab dem die Schedule Funktion nicht mehr aktiv ist;;full scale;(Brightness) value from which the schedule function is no longer active;full scale;(Helderheid) waarde waarvan de planningsfunctie niet langer actief is;pleine échelle;Valeur (luminosité) à partir de laquelle la fonction de planification n'est plus active;su vasta scala;Valore (Luminosità) da cui la funzione di pianificazione non è più attiva;Escala completa;(Brillo) valor desde el cual la función de programación ya no está activa;fuld skala;(Lysstyrke) -værdi, hvor planlægningsfunktionen ikke længere er aktiv;
GlobVarNr;1;GVarNr;0;255;;;Nummer der globalen Variablen;;;Global variable number;;Wereldwijd variabel nummer;;Numéro de variable globale;;Numero variabile globale;;Número de variable global;;Globalt variabeltal;;
Off;1;;0;255;0;;Helligkeit wenn Eingang deaktiviert;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Brightness when input is deactivated;The brightness is a number between 0 and 255.;Helderheid wanneer invoer is gedeactiveerd;De helderheid is een getal tussen 0 en 255.;Luminosité lorsque l'entrée est désactivée;La luminosité est un nombre compris entre 0 et 255.;Luminosità quando l'ingresso è disattivato;La luminosità è un numero compreso tra 0 e 255.;Brillo cuando la entrada está desactivada;El brillo es un número entre 0 y 255.;Lysstyrke, når input er deaktiveret;Lysstyrken er et tal mellem 0 og 255.;
LEDcnt;1;;3;15;6;;Anzahl der einzelnen LEDs;Anzahl der LEDs eines Baustellen Warnlichts (3-15);;Number of individual LEDs;Number of LEDs of a construction site warning light (3-15);Aantal individuele LED's;Aantal LED's van een waarschuwingslampje op een bouwplaats (3-15);Nombre de LED individuelles;Nombre de LED d'un voyant de chantier (3-15);Numero di singoli LED;Numero di LED di una spia di cantiere (3-15);Cantidad de LEDs individuales;Número de LED de una luz de advertencia del sitio de construcción (3-15);Antal individuelle LED'er;Antal lysdioder på en advarselslampe på en byggeplads (3-15);
MinBrightness;2;;0;255;5;;Minimale Helligkeit der LEDs;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Minimum brightness of the LEDs;The brightness is a number between 0 and 255.;Minimale helderheid van de LED's;De helderheid is een getal tussen 0 en 255.;Luminosité minimale des LED;La luminosité est un nombre compris entre 0 et 255.;Luminosità minima dei LED;La luminosità è un numero compreso tra 0 e 255.;Brillo mínimo de los LED;El brillo es un número entre 0 y 255.;Minimum lysstyrke på lysdioderne;Lysstyrken er et tal mellem 0 og 255.;
MaxBrightness;2;;1;255;255;;Maximale Helligkeit der LEDs;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Maximum brightness of the LEDs;The brightness is a number between 0 and 255.;Maximale helderheid van de LED's;De helderheid is een getal tussen 0 en 255.;Luminosité maximale des LED;La luminosité est un nombre compris entre 0 et 255.;Massima luminosità dei LED;La luminosità è un numero compreso tra 0 e 255.;Brillo máximo de los LED;El brillo es un número entre 0 y 255.;Maksimal lysstyrke på lysdioderne;Lysstyrken er et tal mellem 0 og 255.;
MaxB16;x;;1;255;16;;Maximale Helligkeit der LEDs;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Maximum brightness of the LEDs;The brightness is a number between 0 and 255.;Maximale helderheid van de leds;De helderheid is een getal tussen 0 en 255.;Luminosité maximale des LED;La luminosité est un nombre compris entre 0 et 255.;Massima luminosità dei LED;La luminosità è un numero compreso tra 0 e 255.;Brillo máximo de los LED;El brillo es un número entre 0 y 255.;Maksimal lysstyrke for lysdioderne;Lysstyrken er et tal mellem 0 og 255.;
MaxB32;x;;1;255;32;;Maximale Helligkeit der LEDs;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Maximum brightness of the LEDs;The brightness is a number between 0 and 255.;Maximale helderheid van de leds;De helderheid is een getal tussen 0 en 255.;Luminosité maximale des LED;La luminosité est un nombre compris entre 0 et 255.;Massima luminosità dei LED;La luminosità è un numero compreso tra 0 e 255.;Brillo máximo de los LED;El brillo es un número entre 0 y 255.;Maksimal lysstyrke for lysdioderne;Lysstyrken er et tal mellem 0 og 255.;
MaxB64;x;;1;255;64;;Maximale Helligkeit der LEDs;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Maximum brightness of the LEDs;The brightness is a number between 0 and 255.;Maximale helderheid van de leds;De helderheid is een getal tussen 0 en 255.;Luminosité maximale des LED;La luminosité est un nombre compris entre 0 et 255.;Massima luminosità dei LED;La luminosità è un numero compreso tra 0 e 255.;Brillo máximo de los LED;El brillo es un número entre 0 y 255.;Maksimal lysstyrke for lysdioderne;Lysstyrken er et tal mellem 0 og 255.;
MaxB128;x;;1;255;128;;Maximale Helligkeit der LEDs;Die Helligkeit ist eine Zahl zwischen 0 und 255.;;Maximum brightness of the LEDs;The brightness is a number between 0 and 255.;Maximale helderheid van de leds;De helderheid is een getal tussen 0 en 255.;Luminosité maximale des LED;La luminosité est un nombre compris entre 0 et 255.;Massima luminosità dei LED;La luminosità è un numero compreso tra 0 e 255.;Brillo máximo de los LED;El brillo es un número entre 0 y 255.;Maksimal lysstyrke for lysdioderne;Lysstyrken er et tal mellem 0 og 255.;
OnT;1;Time;1;65535;100 ms;;Einschaltzeit der Lichter;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Lights on time;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Lichten op tijd;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Lumières à l'heure;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Luci puntuali;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Luces en el tiempo;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Lys til tiden;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
WaitT;1;Time;0;65535;0 ms;;Wartezeit zwischen zwei Lichtern;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Wait between two lights;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Wacht tussen twee lichten;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Attendez entre deux lumières;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Aspetta tra due luci;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Espera entre dos luces;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Vent mellem to lys;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
WaitE;1;Time;0;65535;500 ms;;Wartezeit am Ende des Lauflichts;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Waiting time at the end of the chaser;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Wachttijd aan het einde van de chaser;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps d'attente au bout du chaser;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo di attesa alla fine dell'inseguitore;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Tiempo de espera al final del perseguidor.;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Ventetid ved afslutningen af ??chaser;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
States;1;;2;11;6;;Anzahl der Zustände;Anzahl der vom Charlieplexing Modul unterstützten Zustände (zwischen 2 und 11).;;Number of states;Number of states supported by the Charlieplexing module (between 2 and 11).;Aantal staten;Aantal staten ondersteund door de Charlieplexing-module (tussen 2 en 11).;Nombre d'états;Nombre d'états pris en charge par le module Charlieplexing (entre 2 et 11).;Numero di stati;Numero di stati supportati dal modulo Charlieplexing (tra 2 e 11).;Número de estados;Número de estados admitidos por el módulo Charlieplexing (entre 2 y 11).;Antal stater;Antal stater understøttet af Charlieplexing-modulet (mellem 2 og 11).;
BinStates;1;;2;11;6;;Anzahl der Zustände;Anzahl der vom Charlieplexing Modul unterstützten Zustände (zwischen 2 und 11).;;Number of states;Number of states supported by the Charlieplexing module (between 2 and 11).;Aantal staten;Aantal staten ondersteund door de Charlieplexing-module (tussen 2 en 11).;Nombre d'états;Nombre d'états pris en charge par le module Charlieplexing (entre 2 et 11).;Numero di stati;Numero di stati supportati dal modulo Charlieplexing (tra 2 e 11).;Número de estados;Número de estados admitidos por el módulo Charlieplexing (entre 2 y 11).;Antal stater;Antal stater understøttet af Charlieplexing-modulet (mellem 2 og 11).;
Update_t_Min;4;;1;255;31;;Minimale Zeit zum Farbwechsel [4ms];;;Minimum time to change color [4ms];;Minimale tijd om van kleur te veranderen [4ms];;Temps minimum pour changer de couleur [4 ms];;Tempo minimo per cambiare colore [4ms];;Tiempo mínimo para cambiar de color [4 ms];;Minimum tid til ændring af farve [4ms];;
Update_t_Max;4;;1;255;156;;Maximale Zeit zum Farbwechsel [4ms];;;Maximum time for color change [4ms];;Maximale tijd voor kleurverandering [4ms];;Durée maximale de changement de couleur [4 ms];;Tempo massimo per il cambio colore [4ms];;Tiempo máximo para cambio de color [4 ms];;Maksimal tid for farveændring [4ms];;
Min_Brightness;4;;0;255;40;;Minimale zufällige Helligkeit;;;Minimal random brightness;;Minimale willekeurige helderheid;;Luminosité aléatoire minimale;;Luminosità casuale minima;;Brillo aleatorio mínimo;;Minimal tilfældig lysstyrke;;
Max_Brightness;4;;0;255;65;;Maximale zufällige Helligkeit;;;Maximum random brightness;;Maximale willekeurige helderheid;;Luminosité aléatoire maximale;;Massima luminosità casuale;;Brillo aleatorio máximo;;Maksimal tilfældig lysstyrke;;
R_Min;2;;0;255;0;;Minimaler zufällige Rotanteil;;;Minimal random amount of red;;Minimale willekeurige hoeveelheid rood;;Quantité minimale de rouge aléatoire;;Minima quantità casuale di rosso;;Cantidad mínima aleatoria de rojo;;Minimal tilfældig mængde rød;;
R_Max;2;;0;255;85;;Maximaler zufällige Rotanteil;;;Maximum random amount of red;;Maximale willekeurige hoeveelheid rood;;Quantité aléatoire maximale de rouge;;Massima quantità casuale di rosso;;Cantidad aleatoria máxima de rojo;;Maksimal tilfældig mængde rød;;
G_Min;2;;0;255;70;;Minimaler zufällige Grünanteil;;;Minimal random amount of green;;Minimale willekeurige hoeveelheid groen;;Quantité minimale aléatoire de vert;;Minima quantità casuale di verde;;Cantidad mínima aleatoria de verde;;Minimal tilfældig mængde grøn;;
G_Max;2;;0;255;210;;Maximaler zufällige Grünanteil;;;Maximum random amount of green;;Maximale willekeurige hoeveelheid groen;;Quantité maximale de vert aléatoire;;Massima quantità casuale di verde;;Cantidad máxima aleatoria de verde;;Maksimal tilfældig mængde grøn;;
B_Min;2;;0;255;60;;Minimaler zufällige Blauanteil;;;Minimal random blue component;;Minimale willekeurige blauwe component;;Composante bleue aléatoire minimale;;Componente blu casuale minima;;Componente azul aleatorio mínimo;;Minimal tilfældig blå komponent;;
B_Max;2;;0;255;150;;Maximaler zufällige Blauanteil;;;Maximum random blue component;;Maximale willekeurige blauwe component;;Composante bleue aléatoire maximale;;Componente blu casuale massimo;;Componente azul aleatorio máximo;;Maksimal tilfældig blå komponent;;
BW_R;2;;0;255;40;;Rotanteil bei Schwarz/Weis TV;;;Red in black / white TV;;Rood in zwart / wit tv;;TV rouge en noir / blanc;;Rosso in TV bianco / nero;;Rojo en TV negro / blanco;;Rødt i sort / hvidt tv;;
BW_G;2;;0;255;40;;Grünanteil bei Schwarz/Weis TV;;;Share of green in black and white TV;;Aandeel groen in zwart-wit tv;;Part du vert dans la télévision en noir et blanc;;Quota di TV verde in bianco e nero;;Parte del verde en la televisión en blanco y negro;;Andel af grønt i sort / hvidt tv;;
BW_B;2;;0;255;80;;Blauanteil bei Schwarz/Weis TV;;;Blue content in black and white TV;;Blauwe inhoud in zwart-wit tv;;Contenu bleu sur un téléviseur noir et blanc;;Contenuto blu in TV in bianco e nero;;Contenido azul en TV en blanco y negro;;Blåt indhold i sort / hvidt tv;;
Rand_On;1;;0;255;10;;Wahrscheinlichkeit das Lampe startet;0 = Lampe startet nicht, 1 = Startet sehr selten, 255 = Startet sofort;;Probability that the lamp starts;0 = lamp does not start, 1 = starts very rarely, 255 = starts immediately;Waarschijnlijk dat de lamp start;0 = lamp start niet, 1 = start zeer zelden, 255 = start onmiddellijk;Probabilité que la lampe démarre;0 = la lampe ne démarre pas, 1 = démarre très rarement, 255 = démarre immédiatement;Probabilità che la lampada si avvii;0 = la lampada non si avvia, 1 = si avvia molto raramente, 255 = si avvia immediatamente;Probabilidad de que la lámpara se encienda;0 = la lámpara no se enciende, 1 = se enciende muy raramente, 255 = se enciende inmediatamente;Sandsynlighed for, at lampen starter;0 = lampe starter ikke, 1 = starter meget sjældent, 255 = starter straks;
RandOff;1;;0;255;200;;Wahrscheinlichkeit das Lampe wieder aus geht;0 = Lampe bleibt an, 1 = Blitzt nur kurz auf, 255 = Lampe bleibt sehr lange an bis es zum nächsten Aussetzer kommt;;Probability that the lamp goes out again;0 = lamp stays on, 1 = flashes only briefly, 255 = lamp stays on very long until the next dropout occurs;Waarschijnlijk gaat de lamp weer uit;0 = lamp blijft branden, 1 = knippert slechts kort, 255 = lamp blijft erg lang branden tot de volgende uitval optreedt;Probabilité que la lampe s'éteigne à nouveau;0 = la lampe reste allumée, 1 = clignote seulement brièvement, 255 = la lampe reste allumée très longtemps jusqu'à ce que le prochain décrochage se produise;Probabilità che la lampada si spenga di nuovo;0 = la lampada rimane accesa, 1 = lampeggia solo brevemente, 255 = la lampada rimane accesa molto a lungo fino alla successiva interruzione;Probabilidad de que la lámpara se apague nuevamente.;0 = la lámpara permanece encendida, 1 = parpadea solo brevemente, 255 = la lámpara permanece encendida durante mucho tiempo hasta que se produce el siguiente abandono;Sandsynlighed for, at lampen slukker igen;0 = lampe forbliver tændt, 1 = blinker kun kort, 255 = lampen forbliver meget lang, indtil næste frafald finder sted;
Min_Def;1;;1;255;1;;Rotes glimmen des Starters;Werte > 5 sind nicht sinnvoll;;Red glow of the starter;Values> 5 are not useful;Rode gloed van de starter;Waarden> 5 zijn niet nuttig;Lueur rouge du démarreur;Les valeurs> 5 ne sont pas utiles;Bagliore rosso di avviamento;I valori> 5 non sono utili;Resplandor rojo del motor de arranque;Los valores> 5 no son útiles;Rød glød af starteren;Værdier> 5 er ikke nyttige;
Test_But_InCh;1;;0;255;0;;Start Nummer der Schalter;;;Start number of the counter;;Startnummer van de teller;;Numéro de départ du compteur;;Numero iniziale del contatore;;Número de inicio del contador;;Tællerens startnummer;;
ADKey1;1;;0;255;255;;"""Helligkeitswert"" ADKey1";Die Werte können mit dem Farbtest Programm ermittelt werden.;;"""Brightness value"" ADKey1";The values ??can be determined with the color test program.;"""Helderheidswaarde"" ADKey1";De waarden kunnen worden bepaald met het kleurentestprogramma.;"""Valeur de luminosité"" ADKey1";Les valeurs peuvent être déterminées avec le programme de test de couleur.;"""Valore di luminosità"" ADKey1";I valori possono essere determinati con il programma di prova colore.;"""Valor de brillo"" ADKey1";Los valores se pueden determinar con el programa de prueba de color.;"""Lysstyrkeværdi"" ADKey1";Værdierne kan bestemmes med farvetestprogrammet.;
ADKey2;1;;0;255;0;;"""Helligkeitswert"" ADKey2";Die Werte können mit dem Farbtest Programm ermittelt werden.;;"""Brightness value"" ADKey2";The values ??can be determined with the color test program.;"""Helderheidswaarde"" ADKey2";De waarden kunnen worden bepaald met het kleurentestprogramma.;"""Valeur de luminosité"" ADKey2";Les valeurs peuvent être déterminées avec le programme de test de couleur.;"""Valore di luminosità"" ADKey2";I valori possono essere determinati con il programma di prova colore.;"""Valor de brillo"" ADKey2";Los valores se pueden determinar con el programa de prueba de color.;"""Lysstyrkeværdi"" ADKey2";Værdierne kan bestemmes med farvetestprogrammet.;
ADKey;1;;0;255;255;;"""Helligkeitswert"" ADKey";Die Werte können mit dem Farbtest Programm ermittelt werden.;;"""Brightness value"" ADKey";The values ??can be determined with the color test program.;"""Helderheidswaarde"" ADKey";De waarden kunnen worden bepaald met het kleurentestprogramma.;"""Valeur de luminosité"" ADKey";Les valeurs peuvent être déterminées avec le programme de test de couleur.;"""Valore di luminosità"" ADKey";I valori possono essere determinati con il programma di prova colore.;"ADKey ""Valor de brillo""";Los valores se pueden determinar con el programa de prueba de color.;"""Lysstyrkeværdi"" ADKey";Værdierne kan bestemmes med farvetestprogrammet.;
Min_Delay;1;Time;1;1048560;1 Sek;;Minimale Zeit bis zum Zündversuch;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Minimum time before attempting ignition;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Minimale tijd voordat u een ontsteking probeert;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps minimum avant de tenter l'allumage;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo minimo prima di tentare l'accensione;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Tiempo mínimo antes de intentar encender;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Minimum tid inden du prøver på antændelse;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
Max_Delay;1;Time;1;1048560;3 Sek;;Maximale Zeit bis zum Zündversuch;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;Maximum time to attempt ignition;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";Maximale tijd om ontsteking te proberen;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";Temps maximum pour tenter l'allumage;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";Tempo massimo per tentare l'accensione;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";Tiempo máximo para intentar encender;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";Maksimal tid til forsøg på antændelse;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
